桥梁名称,所在省,所在市,所在县,具体地点,纬度,经度,桥梁类型,建造年代,保护级别,是否开放使用,备注
如龙桥,浙江省,丽水市,庆元县,淤上乡坑下村,27.4542,119.0825,木拱桥,明代,全国重点,是,全国重点文物保护单位
临江桥,浙江省,丽水市,庆元县,松源镇坑西村,27.4612,119.0756,木拱桥,清代,省级,是,保存完好
兰溪桥,浙江省,丽水市,庆元县,贤良镇,27.4456,119.0634,木拱桥,明代,全国重点,是,著名廊桥
淤上桥,浙江省,丽水市,庆元县,淤上乡,27.4489,119.0789,木拱桥,清代,县级,是,乡村廊桥
大济桥,浙江省,丽水市,庆元县,濛洲街道大济村,27.4678,119.0812,木拱桥,明代,省级,是,历史悠久
张村桥,浙江省,丽水市,庆元县,张村乡,27.4234,119.0545,木平桥,清代,县级,是,简洁型廊桥
南阳桥,浙江省,温州市,泰顺县,泗溪镇,27.5612,120.0534,木拱桥,清代,全国重点,是,泰顺廊桥代表
北涧桥,浙江省,温州市,泰顺县,泗溪镇,27.5567,120.0489,木拱桥,清代,全国重点,是,双桥结构
三条桥,浙江省,温州市,泰顺县,洲岭乡,27.5123,119.9823,木拱桥,宋代,省级,是,历史最悠久
永宁桥,浙江省,温州市,泰顺县,三魁镇,27.6234,120.1234,木拱桥,清代,县级,是,保存较好
